node_id,node_type,raw_id,label,handle,comment_count,videos_commented,channels_commented,channel_id,channel_name,category,view_count,unique_authors
author::UC-HeUTT6_g-VoiWds2a4H-w,author,UC-HeUTT6_g-VoiWds2a4H-w,@JorgeMunoz-gd9et,/@JorgeMunoz-gd9et,1,1,1,,,,,
author::UC-Iul5tDYH_oiAMXQH-KaaQ,author,UC-Iul5tDYH_oiAMXQH-KaaQ,@AlbertoMancilla-p9h,/@AlbertoMancilla-p9h,1,1,1,,,,,
author::UC-QOpE7GOxlXcHZ8b7HbQKA,author,UC-QOpE7GOxlXcHZ8b7HbQKA,@mariaalexander427,/@mariaalexander427,2,1,1,,,,,
author::UC-fiZBS5Gp1eCJd9ucgWnCg,author,UC-fiZBS5Gp1eCJd9ucgWnCg,@Tommii.10,/@Tommii.10,1,1,1,,,,,
author::UC-hfX8J5JPJ-dfuakzegMLA,author,UC-hfX8J5JPJ-dfuakzegMLA,@normaleticiaorozcojuarez2418,/@normaleticiaorozcojuarez2418,1,1,1,,,,,
author::UC-jS_kA9w-OmpupXDx156Rg,author,UC-jS_kA9w-OmpupXDx156Rg,@simoncreyesc7579,/@simoncreyesc7579,1,1,1,,,,,
author::UC-pNP6RMFuLg_-x7Ah_0kEA,author,UC-pNP6RMFuLg_-x7Ah_0kEA,@almacatalan2717,/@almacatalan2717,1,1,1,,,,,
author::UC094EFEmMSdwVa8NQjjYBXg,author,UC094EFEmMSdwVa8NQjjYBXg,@CelestinoQuej-j7k,/@CelestinoQuej-j7k,1,1,1,,,,,
author::UC0HvfEWozTHbwl_iEmJNvVA,author,UC0HvfEWozTHbwl_iEmJNvVA,@OttoPalencia-b7r,/@OttoPalencia-b7r,1,1,1,,,,,
author::UC0RpuMwkDKJYqgKHtsJRuWQ,author,UC0RpuMwkDKJYqgKHtsJRuWQ,@sabinamarinaguerra3248,/@sabinamarinaguerra3248,1,1,1,,,,,
author::UC0aEyakBPqcBkVJiErfSupQ,author,UC0aEyakBPqcBkVJiErfSupQ,@jhonymanuel9891,/@jhonymanuel9891,1,1,1,,,,,
author::UC14qlobYKqD-DO0j6b75lcA,author,UC14qlobYKqD-DO0j6b75lcA,@megavision4488,/@megavision4488,1,1,1,,,,,
author::UC1DpqK6vaPEkBOMNvypsKYg,author,UC1DpqK6vaPEkBOMNvypsKYg,@HectorCarranza-u4j4o,/@HectorCarranza-u4j4o,1,1,1,,,,,
author::UC1NiEdJ7gk6FlDexIalWnGg,author,UC1NiEdJ7gk6FlDexIalWnGg,@BorisTebalán,/@BorisTebal%C3%A1n,1,1,1,,,,,
